Sexo	Edad	Relación con la actividad económica	Periodo	Total
Ambos sexos	Total	Total	2024	41.565,8
Ambos sexos	Total	Total	2023	40.982,7
Ambos sexos	Total	Total	2022	40.367,3
Ambos sexos	Total	Total	2021	39.926,1
Ambos sexos	Total	Total	2020	39.578,8
Ambos sexos	Total	Total	2019	39.269,3
Ambos sexos	Total	Total	2018	38.886,8
Ambos sexos	Total	Total	2017	38.654,1
Ambos sexos	Total	Total	2016	38.531,5
Ambos sexos	Total	Total	2015	38.497,6
Ambos sexos	Total	Total	2014	38.514,6
Ambos sexos	Total	Total	2013	38.638,6
Ambos sexos	Total	Total	2012	38.815
Ambos sexos	Total	Total	2011	38.842,3
Ambos sexos	Total	Total	2010	38.760,1
Ambos sexos	Total	Total	2009	38.651
Ambos sexos	Total	Total	2008	38.390,1
Ambos sexos	Total	Total	2007	37.833,1
Ambos sexos	Total	Total	2006	37.142,8
Ambos sexos	Total	Activos	2024	24.424,6
Ambos sexos	Total	Activos	2023	24.119,7
Ambos sexos	Total	Activos	2022	23.626,7
Ambos sexos	Total	Activos	2021	23.309,9
Ambos sexos	Total	Activos	2020	22.733,3
Ambos sexos	Total	Activos	2019	23.027,1
Ambos sexos	Total	Activos	2018	22.806,8
Ambos sexos	Total	Activos	2017	22.741,7
Ambos sexos	Total	Activos	2016	22.822,7
Ambos sexos	Total	Activos	2015	22.922
Ambos sexos	Total	Activos	2014	22.954,6
Ambos sexos	Total	Activos	2013	23.190,1
Ambos sexos	Total	Activos	2012	23.443,7
Ambos sexos	Total	Activos	2011	23.434,1
Ambos sexos	Total	Activos	2010	23.364,6
Ambos sexos	Total	Activos	2009	23.260,4
Ambos sexos	Total	Activos	2008	23.065,6
Ambos sexos	Total	Activos	2007	22.426,1
Ambos sexos	Total	Activos	2006	21.780
Ambos sexos	Total	Ocupados	2024	21.653,9
Ambos sexos	Total	Ocupados	2023	21.182,2
Ambos sexos	Total	Ocupados	2022	20.547,5
Ambos sexos	Total	Ocupados	2021	19.833,5
Ambos sexos	Total	Ocupados	2020	19.202,4
Ambos sexos	Total	Ocupados	2019	19.779,3
Ambos sexos	Total	Ocupados	2018	19.327,7
Ambos sexos	Total	Ocupados	2017	18.824,8
Ambos sexos	Total	Ocupados	2016	18.341,5
Ambos sexos	Total	Ocupados	2015	17.866
Ambos sexos	Total	Ocupados	2014	17.344,2
Ambos sexos	Total	Ocupados	2013	17.139
Ambos sexos	Total	Ocupados	2012	17.632,7
Ambos sexos	Total	Ocupados	2011	18.421,4
Ambos sexos	Total	Ocupados	2010	18.724,5
Ambos sexos	Total	Ocupados	2009	19.106,9
Ambos sexos	Total	Ocupados	2008	20.469,7
Ambos sexos	Total	Ocupados	2007	20.579,9
Ambos sexos	Total	Ocupados	2006	19.939,1
Ambos sexos	Total	Parados	2024	2.770,7
Ambos sexos	Total	Parados	2023	2.937,5
Ambos sexos	Total	Parados	2022	3.079,2
Ambos sexos	Total	Parados	2021	3.476,4
Ambos sexos	Total	Parados	2020	3.530,9
Ambos sexos	Total	Parados	2019	3.247,8
Ambos sexos	Total	Parados	2018	3.479,1
Ambos sexos	Total	Parados	2017	3.916,9
Ambos sexos	Total	Parados	2016	4.481,2
Ambos sexos	Total	Parados	2015	5.056
Ambos sexos	Total	Parados	2014	5.610,4
Ambos sexos	Total	Parados	2013	6.051,1
Ambos sexos	Total	Parados	2012	5.811
Ambos sexos	Total	Parados	2011	5.012,7
Ambos sexos	Total	Parados	2010	4.640,1
Ambos sexos	Total	Parados	2009	4.153,5
Ambos sexos	Total	Parados	2008	2.595,9
Ambos sexos	Total	Parados	2007	1.846,1
Ambos sexos	Total	Parados	2006	1.840,9
Ambos sexos	Total	Parados que buscan primer empleo	2024	283,9
Ambos sexos	Total	Parados que buscan primer empleo	2023	315,1
Ambos sexos	Total	Parados que buscan primer empleo	2022	333
Ambos sexos	Total	Parados que buscan primer empleo	2021	351,4
Ambos sexos	Total	Parados que buscan primer empleo	2020	303,8
Ambos sexos	Total	Parados que buscan primer empleo	2019	332,7
Ambos sexos	Total	Parados que buscan primer empleo	2018	353,1
Ambos sexos	Total	Parados que buscan primer empleo	2017	410,7
Ambos sexos	Total	Parados que buscan primer empleo	2016	451,4
Ambos sexos	Total	Parados que buscan primer empleo	2015	534
Ambos sexos	Total	Parados que buscan primer empleo	2014	551
Ambos sexos	Total	Parados que buscan primer empleo	2013	542
Ambos sexos	Total	Parados que buscan primer empleo	2012	496,5
Ambos sexos	Total	Parados que buscan primer empleo	2011	420,9
Ambos sexos	Total	Parados que buscan primer empleo	2010	356,2
Ambos sexos	Total	Parados que buscan primer empleo	2009	303,5
Ambos sexos	Total	Parados que buscan primer empleo	2008	234,4
Ambos sexos	Total	Parados que buscan primer empleo	2007	200
Ambos sexos	Total	Parados que buscan primer empleo	2006	209
Ambos sexos	Total	Inactivos	2024	17.141,2
Ambos sexos	Total	Inactivos	2023	16.863
Ambos sexos	Total	Inactivos	2022	16.740,6
Ambos sexos	Total	Inactivos	2021	16.616,1
Ambos sexos	Total	Inactivos	2020	16.845,5
Ambos sexos	Total	Inactivos	2019	16.242,2
Ambos sexos	Total	Inactivos	2018	16.080
Ambos sexos	Total	Inactivos	2017	15.912,4
Ambos sexos	Total	Inactivos	2016	15.708,8
Ambos sexos	Total	Inactivos	2015	15.575,5
Ambos sexos	Total	Inactivos	2014	15.560
Ambos sexos	Total	Inactivos	2013	15.448,5
Ambos sexos	Total	Inactivos	2012	15.371,3
Ambos sexos	Total	Inactivos	2011	15.408,2
Ambos sexos	Total	Inactivos	2010	15.395,5
Ambos sexos	Total	Inactivos	2009	15.390,5
Ambos sexos	Total	Inactivos	2008	15.324,6
Ambos sexos	Total	Inactivos	2007	15.407
Ambos sexos	Total	Inactivos	2006	15.362,9
Ambos sexos	De 16 a 19 años	Total	2024	2.120,7
Ambos sexos	De 16 a 19 años	Total	2023	2.032
Ambos sexos	De 16 a 19 años	Total	2022	1.984
Ambos sexos	De 16 a 19 años	Total	2021	1.920,1
Ambos sexos	De 16 a 19 años	Total	2020	1.920,1
Ambos sexos	De 16 a 19 años	Total	2019	1.875,5
Ambos sexos	De 16 a 19 años	Total	2018	1.822
Ambos sexos	De 16 a 19 años	Total	2017	1.779,4
Ambos sexos	De 16 a 19 años	Total	2016	1.745,2
Ambos sexos	De 16 a 19 años	Total	2015	1.720,3
Ambos sexos	De 16 a 19 años	Total	2014	1.709,8
Ambos sexos	De 16 a 19 años	Total	2013	1.721,7
Ambos sexos	De 16 a 19 años	Total	2012	1.754,5
Ambos sexos	De 16 a 19 años	Total	2011	1.787,6
Ambos sexos	De 16 a 19 años	Total	2010	1.818,3
Ambos sexos	De 16 a 19 años	Total	2009	1.848,6
Ambos sexos	De 16 a 19 años	Total	2008	1.864,7
Ambos sexos	De 16 a 19 años	Total	2007	1.865,6
Ambos sexos	De 16 a 19 años	Total	2006	1.861,3
Ambos sexos	De 16 a 19 años	Activos	2024	326,1
Ambos sexos	De 16 a 19 años	Activos	2023	294,1
Ambos sexos	De 16 a 19 años	Activos	2022	287,8
Ambos sexos	De 16 a 19 años	Activos	2021	257,1
Ambos sexos	De 16 a 19 años	Activos	2020	232,9
Ambos sexos	De 16 a 19 años	Activos	2019	274,7
Ambos sexos	De 16 a 19 años	Activos	2018	266,6
Ambos sexos	De 16 a 19 años	Activos	2017	259,5
Ambos sexos	De 16 a 19 años	Activos	2016	239,6
Ambos sexos	De 16 a 19 años	Activos	2015	256,1
Ambos sexos	De 16 a 19 años	Activos	2014	252,5
Ambos sexos	De 16 a 19 años	Activos	2013	285,8
Ambos sexos	De 16 a 19 años	Activos	2012	306
Ambos sexos	De 16 a 19 años	Activos	2011	344,9
Ambos sexos	De 16 a 19 años	Activos	2010	391
Ambos sexos	De 16 a 19 años	Activos	2009	456,5
Ambos sexos	De 16 a 19 años	Activos	2008	543
Ambos sexos	De 16 a 19 años	Activos	2007	557,5
Ambos sexos	De 16 a 19 años	Activos	2006	545,3
Ambos sexos	De 16 a 19 años	Ocupados	2024	193,6
Ambos sexos	De 16 a 19 años	Ocupados	2023	167,4
Ambos sexos	De 16 a 19 años	Ocupados	2022	158,4
Ambos sexos	De 16 a 19 años	Ocupados	2021	126,4
Ambos sexos	De 16 a 19 años	Ocupados	2020	106,4
Ambos sexos	De 16 a 19 años	Ocupados	2019	150,5
Ambos sexos	De 16 a 19 años	Ocupados	2018	134
Ambos sexos	De 16 a 19 años	Ocupados	2017	117,9
Ambos sexos	De 16 a 19 años	Ocupados	2016	95,8
Ambos sexos	De 16 a 19 años	Ocupados	2015	83,8
Ambos sexos	De 16 a 19 años	Ocupados	2014	79,4
Ambos sexos	De 16 a 19 años	Ocupados	2013	74,4
Ambos sexos	De 16 a 19 años	Ocupados	2012	84
Ambos sexos	De 16 a 19 años	Ocupados	2011	124,1
Ambos sexos	De 16 a 19 años	Ocupados	2010	151,4
Ambos sexos	De 16 a 19 años	Ocupados	2009	204,4
Ambos sexos	De 16 a 19 años	Ocupados	2008	329,2
Ambos sexos	De 16 a 19 años	Ocupados	2007	397,4
Ambos sexos	De 16 a 19 años	Ocupados	2006	386,6
Ambos sexos	De 16 a 19 años	Parados	2024	132,5
